transcription,file_name
bin jau gam dak ji,common_voice_yue_31244562
ji gaa maai uk gei jaa maan,common_voice_yue_31249222
ngo jau si dou zung ji tai gwong gou pui jam dou hou dak ji,common_voice_yue_31250452
nei jat geoi jat geoi on faan seon zeoi gong,common_voice_yue_31250619
jing goi hai gon sip,common_voice_yue_31250623
sau gau ge jyu jam syu jap faat jau man tai aa,common_voice_yue_31250658
bin go gaau ge,common_voice_yue_31251140
ning jyun pui maai hek cou dou jiu wan zyu nei tau ciu kap mo sau,common_voice_yue_31251190
ji cin cing sik m zi wun,common_voice_yue_31251368
ngo tau haa laan zaa,common_voice_yue_31251444
hai zung gwok jat daai caan laan man faa,common_voice_yue_31251445
nei tai faan ngo cam jat gong ge je sin,common_voice_yue_31252053
ngo jau faan jik gwo di di man zoeng,common_voice_yue_31252115
bei hei wu soeng gong je gam gang hai m zung ji kei zung jat go jiu daa zi,common_voice_yue_31258651
ngo m zi dim gong,common_voice_yue_31258652
hai jin sat teng dou,common_voice_yue_31258653
gam nei mai zau sin lo ngo dou waa,common_voice_yue_31258701
gung gou se mat je jau nei dei gun lei jyun waa si,common_voice_yue_31259410
jau min daa jiu gung nang,common_voice_yue_31265427
teng keoi dei duk m hai go maau zi,common_voice_yue_31265917
dim gaai m zik zip jung kwan jap min ge go fan zi biu,common_voice_yue_31265919
zong jyu dou hai cung baak jyut jyu jin jin faa gwo lai,common_voice_yue_31266509
ngo dou fong zo gei go fong on lok heoi nei tai haa sin hou m hou,common_voice_yue_31266562
dou m hai go zek zi,common_voice_yue_31266569
ji gaa m sai gong seoi jiu jing man ge man tai,common_voice_yue_31266727
haa tin cung mou jan wui faan deoi,common_voice_yue_31266728
cam maan tung can zi wang ceot zo heoi,common_voice_yue_31267042
loeng tiu lau jin ge ji si caa hou jyun dou m zi ji bin go wai zeon,common_voice_yue_31272153
waang dim nei jau zi mok,common_voice_yue_31272216
gan zyu ngo faat jin ji dung di mong zung hai caa gwo din seon,common_voice_yue_31272308
hai m hai zik hai am si nei zi soeng dai,common_voice_yue_31272465
dang ngo bok haa wan haa jau mou zi mok baan sin,common_voice_yue_31272498
caan tai zi siu gwo zing tai zi,common_voice_yue_31277326
hou go ngo jau cung zeoi gaan daan ge jiu kau hoi ci syut hei,common_voice_yue_31277378
ngo hoi zo din nou laa,common_voice_yue_31277402
ngo zeng hai hai laap faat wui go waang fuk dou gin gwo,common_voice_yue_31277719
jin hau man zyu nei ge mei dou,common_voice_yue_31277992
gwo jin m ho ji paan bei,common_voice_yue_31277997
nei waa sei m sei,common_voice_yue_31282217
sik dak gong m sik dak ping,common_voice_yue_31282333
haak gaa waa dou jau,common_voice_yue_31283722
seoi jin gam joeng daan hai ngo hou gwaan zyu nei gin si,common_voice_yue_31284045
sing si hai ho ji hou lei pou ge dou jau,common_voice_yue_31284781
zik si zi hai jat man dou hou,common_voice_yue_31284990
gwok ngoi dou jau hat koi,common_voice_yue_31285646
zi hau duk gou saam laa,common_voice_yue_31286258
jung jyu gaau juk jung tou zau zeoi hou tim laa,common_voice_yue_31286266
ngo soeng seon keoi dei wui jau bei gaau hou ge daap fuk,common_voice_yue_31286268
jau di zi tai ngaan sik goi bin zo dim diu faan faan lai,common_voice_yue_31298479
jan dei mou hok gwo m sik zing soeng gwaa,common_voice_yue_31298501
ngo hei mong daai gaa ho ji zi jau di m sai haa haa sau haan zai,common_voice_yue_31298554
gaak lei go gwai mui zek gau hou cou,common_voice_yue_31298561
hai lo dou m zi zung gwok gei si sin wui teoi ceot jat go gam hou jung ge syu jap faat,common_voice_yue_31311264
nei di hai gei co gaau juk,common_voice_yue_31311273
ngo dei jat ding jiu ngo sau se ngo hau zi ci baak waa man,common_voice_yue_31311410
mok fei gok haa jau hou ge gin ji,common_voice_yue_31311442
zoeng jing goi zou daan hai mei zou ge si cing zou jyun zau hou laa,common_voice_yue_31311542
miu siu ge mei lei gin hap zung zi bun zyu ji zau gau dai gwok mou dak sik se wui,common_voice_yue_31311574
kei sat gim sam zan hai sai lei gwo zi hung m zi jat go cang ci,common_voice_yue_31313798
ngo dou zi dou hai mat je keoi ge,common_voice_yue_31313831
daan hai dim gaai m hou gong ne,common_voice_yue_31313834
hou do ci jyu ngo dei zung si gan,common_voice_yue_31313872
jan gong me nei zau zou ngo giu nei heoi sei gam nei m heoi sei,common_voice_yue_31313915
ho ji hai mong soeng sau cam nei go ming zau wan dou keoi,common_voice_yue_31313922
jat zik dou zi hai tung gan zip sin saang gong je,common_voice_yue_31321084
jau m hai baak fan baak zeon ge,common_voice_yue_31321087
zeng zi gwo saam gwaan,common_voice_yue_31321092
bat gwo jyut jyu mou kiu sit,common_voice_yue_31321099
daai gaa dou hai sing nin jan,common_voice_yue_31321104
ngo dou m zi loeng go kwan jat m jat joeng,common_voice_yue_31321106
jau kei gong gwok jyu go di zim hou siu sou,common_voice_yue_31321109
ngaam ngaam sik jyun faan,common_voice_yue_31321110
ji gaa zan hai m zi dou dim hou,common_voice_yue_31321111
zung bei gaau zing gaan m wui taai cam hei,common_voice_yue_31321127
ngo zou me jiu liu gaai,common_voice_yue_31321133
nei go syun gaan daan hou faai ho ji gaau dak dim,common_voice_yue_31321159
nei go jyut ping ci fu daai,common_voice_yue_31321168
bin diu hai deoi diu zik tiu gin bin tai ge miu seot,common_voice_yue_31344099
sau gei hoeng zo haa zau ting m tung hai sau dou gwai ge loi din,common_voice_yue_31344101
jyu gu daai gaa fong hoeng m jat zi zau m wui zoi jyu soeng,common_voice_yue_31344135
nei di m hai mat je zung jiu je m sai lei keoi,common_voice_yue_31344137
ng sing jau haan gong do mou wai,common_voice_yue_31344355
di zi daan giu mat ming,common_voice_yue_31354666
o gam zau hou,common_voice_yue_31354670
go luk caa biu baan sau hoi ze waa zi gei bei jan zaau siu,common_voice_yue_31354689
ngo lou dau waa zaai,common_voice_yue_31354698
syut leoi hung hou m hou sik,common_voice_yue_31354708
seoi jin m syun hou sik jau maan di daan hai suk zo zi hau hai gok dak hou hou jung,common_voice_yue_31354711
lo wing hou hai mat seoi,common_voice_yue_31354733
jau do fong ji gin jiu zung hap caam haau,common_voice_yue_31354735
hai aa ngoi gwok jan dou seoi jiu ge,common_voice_yue_31354736
ni go hai haa zoi fu hou daan ngo m zi hai m hai siu hok,common_voice_yue_31354738
hai ge nin fai dou kei zau jiu gaau bat jin wui zi dung lok gaa ge,common_voice_yue_31354739
jat hai kek cing zau jit hyut gaa lai zi,common_voice_yue_31354757
bak fong waa hang ding jiu hok jyut jyu hang ding jiu bou wu zau gam joeng,common_voice_yue_31354758
zaa zo hou noi tau sin se dak di gam do,common_voice_yue_31354771
gam ming nin m gong,common_voice_yue_31354776
hai gam ge laa tung keoi dei gong je saai si gaan,common_voice_yue_31354778
bat lau dou hai jung ge ze,common_voice_yue_31354780
ngo nei bin zan hai jyun cyun mou baan faat haa zoi dou,common_voice_yue_31355100
zok wai gwong zau jan zung hou laa,common_voice_yue_31355121
keoi dou mou lo cap si wai,common_voice_yue_31355479
daan hai hoeng hoi ping zyu gwo jat dyun si gaan,common_voice_yue_31355480
ho nang hai keoi dei ge zing caak jau bin hai mai aa,common_voice_yue_31355865
wing jyun m hou wan heoi di dai dang kap hou jap kwan,common_voice_yue_31360040
au zau zeoi jim zung hai sai baan ngaa kei ci hai ji daai lei gan zyu hai faat gwok dak gwok jing gwok,common_voice_yue_31360406
nei ji cin gaan uk mou maai ho ji zyu faan go dou aa,common_voice_yue_31360680
ngo suk se deoi lyun jung zo nei go ci,common_voice_yue_31360688
zung gwok ge cyun tung syu min jyu hai man jin man,common_voice_yue_31360690
nau gai zaap paai gwan,common_voice_yue_31360717
haa ci jiu jim gaak sam hat jap kwan ze,common_voice_yue_31360733
gei sap sai dou m jap heoi jat ci,common_voice_yue_31360734
ngo tung hon gwok jan keng gai go zan dou hai giu zou bak ging waa,common_voice_yue_31361474
sau dou laa m goi saai,common_voice_yue_31361476
mai zi sin ji gaa di jan hai mai do sou jung ping jam,common_voice_yue_31361793
jau mou mou seoi lyun mong ge syu jap faat ngo daam sam mat maa bei sit ceoi,common_voice_yue_31361794
gok daan wai gung si gei gau,common_voice_yue_31362122
nei dou tung sing lyun jung ge hai bin go ci,common_voice_yue_31362123
ngo zung jau jat tin wui m ho ji bong keoi bou cung,common_voice_yue_31366778
ji gaa hai pou kap jyut jyu jung zi sin,common_voice_yue_31366780
jyu jam ngo ting ting,common_voice_yue_31366839
keoi sin zi ho ji zi dung gei luk jung wu zou ci,common_voice_yue_31366840
gam gok zung hai mei zuk sau gei hou jung di,common_voice_yue_31366847
tai nei di ji zai sau zeoi,common_voice_yue_31366857
nei wui m wui heoi ga,common_voice_yue_31366859
nei hai waa san man ne loeng go san man ngo hai kam coeng tai ge,common_voice_yue_31366865
nei zoi faat jat faat ceot lai,common_voice_yue_31371802
guk go wan m dou nei go zi,common_voice_yue_31371961
sau gei zyun m fong bin,common_voice_yue_31371973
ceoi zo gong gung hei ngo dou m zi gong mat,common_voice_yue_31372258
ting m teng dou ngo gong je,common_voice_yue_31372289
ni sau go ngo dou gei dak hou cing co,common_voice_yue_31372601
jau nou ge tung soeng dou mou fo,common_voice_yue_31372657
jat ziu zou hei san jat di lai maau dou mou nei hou ji si aa,common_voice_yue_31372678
bat gwo mou jan gam gong,common_voice_yue_31372684
mou dai gwo tau dai diu m dang jyu dai tau,common_voice_yue_31372685
dou waa ngo hok lik dai dou me gam lok,common_voice_yue_31372737
nei go mou faat dang luk hai mat je cing fong aa,common_voice_yue_31372766
daai gaa dou jiu bong sau dak ngo jat go lik loeng m gau,common_voice_yue_31372792
ngo ming baak go loeng tiu jau hai dou mai ge,common_voice_yue_31372906
ngo ji gaa m zung ji kam coeng,common_voice_yue_31373369
nei m hai waa heoi sik faan ne,common_voice_yue_31373371
mou dyun dyun zung coeng,common_voice_yue_31380470
ngo gok dak nei dou ho ji zik zip waa keoi go mong zaam ngaam hoi ci se zung mei se jyun,common_voice_yue_31381567
gaan zung dou jiu ci siu haa jyu lok haa ge,common_voice_yue_31381610
m zi wai mat zong zo zi tai dou gaai kyut m dou,common_voice_yue_31381951
jat bun ngo hai hoi zoek ge,common_voice_yue_31385623
gwong zau jau go cing fu giu faa sing,common_voice_yue_31385641
nei go man tai lou jan gaai zi mou jyun nim m sai aau,common_voice_yue_31385656
hai ge gan geoi cing zit hai ho ji teoi caak ceot loi ge,common_voice_yue_31385711
hoi kai waa zung waa cit wun hau toi wui jau dit zing,common_voice_yue_31385725
ngo ji gaa zau hai gwong tou,common_voice_yue_31385732
ngo gok dak kong jat san kek ge pui jam dou gei hou,common_voice_yue_31385750
daai dip daai dip pek nei gwo jan di dang nei sei dak ming ming baak baak,common_voice_yue_31385768
tung fu mou zyu hai jat go fong gaan,common_voice_yue_31392540
bei gaau siu jyu dou ceot lai zo dong ge jan,common_voice_yue_31397847
bit seoi jau jyut jyu tung zong jyu ge gwong bo,common_voice_yue_31397852
zan hai jiu cin zau zyu sin la,common_voice_yue_31397982
nei mat je lau laam hei,common_voice_yue_31398056
wong saang gong dak m gau gaan git,common_voice_yue_31398146
zau gong gam do sin,common_voice_yue_31399683
zan gaan bong nei ding tip,common_voice_yue_31399694
m hai hou sin jim ge waa mou gam kap jan lo,common_voice_yue_31399713
bei daai gaa tai haa aa maa,common_voice_yue_31401513
dang ngo jau si haa sin,common_voice_yue_31401555
hai m tung hai tung dim joeng haa zoi lai jung,common_voice_yue_31401565
bing mou jam ho zaang leon ge ji si,common_voice_yue_31401710
nei zeot zai jat go,common_voice_yue_31406254
soeng min ngo geoi ge go gei go lai zi ne,common_voice_yue_31406274
hon jyu si hai gong ling bak jan deoi ling naam ge jan zoeng,common_voice_yue_31406278
lau sing gei sai lik seoi gwong daan jing goi mei hai gam gwong,common_voice_yue_31406284
go jan gok dak maa maa dei,common_voice_yue_31406288
ji maa hyut dou laai zan hai gau wat dat,common_voice_yue_31406313
fuk zai go zi ceot lai,common_voice_yue_31406330
maa faan bong sau teoi gwong jat haa nei go tau piu,common_voice_yue_31406337
jyut man wai gei baak fo ge zeoi do pin cap ge dei keoi geoi jin hai daai luk,common_voice_yue_31407270
nei hai zi gei zou ding hai,common_voice_yue_31407276
hai aa tung laap saap jan gong je zan hai saai seng waai hei,common_voice_yue_31407279
gam hei maa hau loeng tiu bou zo sin laa,common_voice_yue_31407306
ngo ge sau gei zi dung zoeng jyun tai zong lok sau gei dou,common_voice_yue_31407332
sai gaai jau hou do min m zi nei tai dou ge go jat min,common_voice_yue_31407346
ngaak jan dei bong keoi dei zou je,common_voice_yue_31407394
fei lou hing ceoi gau gwong faan,common_voice_yue_31407400
pou tung waa zi m pui jau jyut jam zau hou ci jing man zi jau ho nang wan m dou jyut jam gam,common_voice_yue_31407412
tai lai jau king sei zo,common_voice_yue_31407413
gong dou hou gik dung m hou ji si,common_voice_yue_31407437
gong cyun mai jau zung gaau zin zang,common_voice_yue_31407451
taai do zyun jip ci wui ngo m ming,common_voice_yue_31407454
nei zi gei ho ji bei fan,common_voice_yue_31407582
nei zi m zi cau jip jyun keoi lei daai baan gei nan jyun,common_voice_yue_31407593
ji haa hai ngo ge kei zung jat dyun tau sou man bun,common_voice_yue_31407619
nei hai ngoi gwok so ji m ming,common_voice_yue_31407648
gam ni go hai mat je zi,common_voice_yue_31407746
sai gaai duk jat mou ji,common_voice_yue_31407764
ngo soeng tung daai gaa fan hoeng loeng tiu jing pin,common_voice_yue_31407788
ngo dei gan zyu keoi duk,common_voice_yue_31407847
jat bun dou hai sau gei dim gaau dim ga,common_voice_yue_31407849
ngo gok dak ho seon sing hou gou,common_voice_yue_31408716
m jat ding jiu jat ci m dyun daa saai ceot loi aa maa,common_voice_yue_31408717
jyu gu nei jau bei fan ge waa maa faan hat deoi sou loeng,common_voice_yue_31408737
keoi zi jyun zou gong gu lou,common_voice_yue_31408739
hang zi cam jat daai dit gam jat jau daai sing,common_voice_yue_31418460
jing goi zau hai nei go,common_voice_yue_31418461
zoi gong do ci,common_voice_yue_31418736
ngo ge nam faat zau hai jung dak zau dak gwong gou din nou gun gaa laan zit dak dou,common_voice_yue_31418760
ni geoi waa nei si si jung lai zou geoi,common_voice_yue_31418784
hou ci hou do jan zyu saam faan si bo,common_voice_yue_31418977
tai lai nei zan hai sam lik gaau seoi,common_voice_yue_31418978
ni gei jat dou lok gau si sei wai sap,common_voice_yue_31420811
caa sat hai m hai jau ceot gwo syu,common_voice_yue_31420813
jau si mei bit hai hou si,common_voice_yue_31420840
jyun loi jau jan hai ngo dai haa zin dai,common_voice_yue_31420842
syun laa mou gai,common_voice_yue_31420881
bin jau jan zek goek hou ci baa coi dou gam fun ge,common_voice_yue_31420882
wai mat je zi liu gam daai,common_voice_yue_31420884
se sing dai ji di wui jan jan waai jam ge co zi,common_voice_yue_31420885
nei gei si zong,common_voice_yue_31420921
cung ji ling dou gang do jan fui fuk jung faan jyun bun ge zing kok jung zi kwai zak,common_voice_yue_31420922
m gwaai dak di mei seon gung zung hou gam cek,common_voice_yue_31421647
jung zo jat go sing kei,common_voice_yue_31421649
fong gung laa m sai zou gam do laa zou gam do cin daai heoi bin dou,common_voice_yue_31421650
keoi dei bin wui zai ne,common_voice_yue_31426350
ngo bing m hai caai jan,common_voice_yue_31426351
mou me si ngo zau pit sin laa,common_voice_yue_31427236
jau mou jan pui ngo tai si tou hang ze ji,common_voice_yue_31427239
nei bat jyu waa tung sing lyun sau fu gei cin nin,common_voice_yue_31427257
daai gaa jin gau ceot loi hai ne go,common_voice_yue_31427263
mat je puk gaai ge jyun gin,common_voice_yue_31427290
zi wai sau gei zeoi on cyun zau hai haak mui,common_voice_yue_31427328
zung gwok gun fong jyu jin zi gaan cing,common_voice_yue_31427353
zing jan wai mou syu jap faat m hou so ji zau hou siu jan daa jyut man,common_voice_yue_31427356
zi dak gim caa jyun sin zi lei gaai dou dong zung gaau sam cang ci ge man tai,common_voice_yue_31427383
nei go zi hai mat je ji si,common_voice_yue_31427386
gaa ging maa maa dei,common_voice_yue_31427387
jau si pou tung waa wui lo zo di jyut jyu ci wui,common_voice_yue_31427488
gin ji nei zyu ji haa jung zi,common_voice_yue_31427490
di dak syu zi mou hou ci m gin jau jan faan gwai,common_voice_yue_31427504
tou pin hai bin dou ga,common_voice_yue_31427514
gam ngo teoi zin nei jung jyut ping,common_voice_yue_31427517
fong sam wo jat ding jau nei fan,common_voice_yue_31427519
sau gei ci fu dim joeng sin zi ho ji tung din nou ci fu hap bing,common_voice_yue_31427521
daan hai ni zek zi ngo dou m zi bun zi hai bin go,common_voice_yue_31427522
mou wu mou sik sing mou dou mou wu sau saak,common_voice_yue_31427526
ji cin hoeng gong go di din jing tung maai din si kek dou hai jyut jyu zi mok,common_voice_yue_31427532
go go dou hai zing hai ho ji zi gei pin cap go go sing zi jing dong,common_voice_yue_31427650
gam ze zi dou,common_voice_yue_31427677
ne saam hong se gan mat,common_voice_yue_31427679
aai maai zan jyu gwo lai aa,common_voice_yue_31427749
nei m jing goi gam man,common_voice_yue_31427750
ngo jyun bong nei fong zik jat go mung,common_voice_yue_31427765
seoi jin muk cin dak jat go zyu tai,common_voice_yue_31427766
nei gok dak long ji fuk ding hai long ji soeng seon hau,common_voice_yue_31428329
nei go jing goi m naan,common_voice_yue_31428330
zi cin gok dak ji ging sik hou do laa ji gaa jau zeon jap jat go san sai gaai,common_voice_yue_31428354
tai zo jat haa seng go kwan ng baak jan dou m dou,common_voice_yue_31428400
dim gaai gam do zung gwok jan zung ji heoi au mei gwok gaa,common_voice_yue_31428849
ne jat tou hai tung hai gam joeng gei ge,common_voice_yue_31428887
ngo zan gaan heoi sai sau,common_voice_yue_31428889
dai ji bou zi hau zau kaa zyu zo,common_voice_yue_31428924
gaai si jau hou do waan jyu maai,common_voice_yue_31428955
gam ling ngoi jat go zi ne,common_voice_yue_31428974
faa kyun sau teoi jyun sau jyun goek,common_voice_yue_31429007
ngo gok dak gong dak fei soeng zi hou,common_voice_yue_31429008
hai daai luk m zi ho m ho ji haa zoi,common_voice_yue_31429036
zi bat gwo jan dei wui hai duk ge si hau zi dung zyun faa wai hau jyu,common_voice_yue_31429132
jau go hou siu sik waa bei nei teng ngo ji ging sau dou wui fuk,common_voice_yue_31429133
ngo gaan zo fe sik tung baak sik,common_voice_yue_31429156
lok baan faan heoi zoi heoi tai tai,common_voice_yue_31429158
ho ji zik zip tung keoi gong keoi hai zyu hoi jan lai,common_voice_yue_31429183
gwo gei nin wui zyun hou,common_voice_yue_31429202
zik zip saan ngo hou jau,common_voice_yue_31429203
ngo jung din waa soeng mong sau cam ga m zung ji jung din nou,common_voice_yue_31429224
keoi zung zi cing zing zung zung waa man faa,common_voice_yue_31429280
keoi hou ci hai dai jat go wo,common_voice_yue_31429283
hou gam dung jau dai saam doi cong kit,common_voice_yue_31429419
zau paa hai gaa je,common_voice_yue_31429465
jan gung baat baak hai mat je ji si,common_voice_yue_31429466
zyu jiu teng dou ge jyu jin dou hai pou tung waa jyut jyu tung jing man,common_voice_yue_31429467
man dou m bei,common_voice_yue_31429468
nei go cing fong jat man dou jau,common_voice_yue_31430126
ni go hai noi caak baan hai sai jung gwo cing zung jyu gu jyu dou man tai ho ji zik zip hai go kwan dou faan gwai,common_voice_yue_31430238
keoi m zip din waa nei haa ling jan hou fong,common_voice_yue_31430244
jing goi wan zung fu kap zat beng lai se,common_voice_yue_31430246
daai bou fan jan zi tai dou biu min,common_voice_yue_31430255
ngo soeng mong wan zo,common_voice_yue_31430260
ni go hai noi caak baan hai sai jung gwo cing zung jyu gu jyu dou man tai ho ji zik zip hai go kwan dou faan gwai,common_voice_yue_31430275
gwaan jyu zi tai ge man tai gan kei ngo zoeng wui tung jin gau jyun ge tung si tou leon jat haa,common_voice_yue_31430277
zan zing ji ji soeng lou gwong zau jam gai sing ze dou dai hai bin dou aa,common_voice_yue_31430280
nei gu haa giu mat je,common_voice_yue_31430288
mai ji wai mou jan jung,common_voice_yue_31430290
bak ging si gaan cam maan sap jat dim,common_voice_yue_31430296
haau m dou dou m gan jiu,common_voice_yue_31430297
haak sei ngo keoi dei mou sam hok,common_voice_yue_31430299
ngo tai m ming jat man,common_voice_yue_31430302
ji gaa nei zung m mei gun,common_voice_yue_31430325
hai mat je ji si,common_voice_yue_31430335
nei jung co zi laa,common_voice_yue_31430336
go go hai gan bun daa m dou,common_voice_yue_31430357
jung zing min je heoi diu keoi,common_voice_yue_31430359
po jam zi faat bin go jam dou jau keoi ge gaa zik,common_voice_yue_31430360
waa nei ting jau hung seoi nei waa jan gei jan jau tin,common_voice_yue_31430376
nei go zau hai keoi ge gung nang,common_voice_yue_31430379
je fan wui m leng neoi ga,common_voice_yue_31430383
jiu goi zau jat ding jiu haa zoi ga hai mai,common_voice_yue_31430386
m cing co ngo muk cin dang luk m dou,common_voice_yue_31430393
gau nin dou jung dou,common_voice_yue_31430424
mou lei jau gam gwaa,common_voice_yue_31430454
bin cyu lai gaa,common_voice_yue_31430468
sam si gaai kap gei nam faat,common_voice_yue_31430469
gei jin nei ji gin gam daai zau syun laa,common_voice_yue_31430522
maai go di m hai mau gwok gwok noi ge jyu gaau ci ban zau hai jung bo lei seoi zing ge zyu lin,common_voice_yue_31430524
jyu gu jeng zo ngo zau wui heoi sik mak dong lou hing zuk,common_voice_yue_31430527
zou jan m hou gam kau kei,common_voice_yue_31430549
nei dou m lau ji haa jan dei zou gan mat,common_voice_yue_31430554
ngo gok dak saam go jyut zi noi waan m dou ng cin man lo,common_voice_yue_31430568
zeon loeng hyun dak gei do dak gei do,common_voice_yue_31430636
dim m hai aa,common_voice_yue_31430641
cung san se zyun faat zau dak laa,common_voice_yue_31430648
zan ge hai nau muk bat ho diu jaa,common_voice_yue_31430657
bat gwo dou jau loeng go ci wui jau man tai,common_voice_yue_31430661
ngo zung ji wai nei dei hai daai luk,common_voice_yue_31430670
nei joeng je hou ngai him,common_voice_yue_31430693
dak laa nei faan gaak lei kwan maan maan hoi zin nei ge hok seot jin gau laa,common_voice_yue_31430699
faan zing ngo din nou daa m hoi nei ge daa dak hoi,common_voice_yue_31430713
daa go syu kei gung dou jau kwai ding,common_voice_yue_31430723
gam nei dou zan hai faai gwo go di baak dou zi dou hou do ge,common_voice_yue_31430728
kei sat ngo daa gam do ci bei nei nei jau mou sau dou,common_voice_yue_31430740
ngo man gwo jat wai gwong sai pang jau keoi dou mei teng gwo,common_voice_yue_31430768
faan sing faan si ge jing man hai mat je,common_voice_yue_31430771
keoi laa si soeng san nei dei zau mou ji gin la gwaa,common_voice_yue_31430773
