transcription,file_name
ho nang hai ngaam ngaam hoi ci ge si kei faat dak taai mat,common_voice_yue_33176142
m zi jung me cyun seng lok lai,common_voice_yue_32306453
hai jat go lai zi jat go bak gaa zau ge din waa,common_voice_yue_32306455
wui m wui jau baak hyut beng ga,common_voice_yue_37068345
gam jat ge dak caan hai ziu jim gwat laau min jiu m jiu si haa,common_voice_yue_37075090
duk waan ge do bun m hai keoi noi jan,common_voice_yue_32996680
bei nei zit tou jung,common_voice_yue_32996681
dou hai taam san sin faat zo gei haa,common_voice_yue_31366860
hai aa ngo dou sau dou,common_voice_yue_31366861
ngo heoi zo jat gaan toi waan caan teng sik je,common_voice_yue_32306956
ngo ji ging zi gei jat go fan zo loeng go lai baai laa,common_voice_yue_32306958
mui ziu zou kei taa tung hok hoi zou wui ge si hau,common_voice_yue_32270046
daa go syu kei gung dou jau kwai ding,common_voice_yue_32270047
ngo duk jat haa si faan,common_voice_yue_33115165
zung jau haa kau cyun,common_voice_yue_33115176
keoi sei zo laa,common_voice_yue_31696219
kei sat dou hai tung jat joeng je loi ga,common_voice_yue_31698675
gong gik dou hai gam fai gwai si coi nei,common_voice_yue_33395060
ni go hai deoi nei hou dak bit ge je,common_voice_yue_33852047
m zi ni go hai m hai cong soeng ge tung beng,common_voice_yue_31357818
hau min waak fan ge,common_voice_yue_31357819
ting m teng dou aa neoi ting m teng dou ze,common_voice_yue_32286016
ping sam ji leon keoi jau gei leng ge,common_voice_yue_32286018
hou ho nang bak zi,common_voice_yue_31209022
nei kok ding gam zou gaau,common_voice_yue_31209024
ngaa ci dong gam sai,common_voice_yue_31724542
ngo bei do loeng cin man,common_voice_yue_31724544
nei gok dak ngo hai daa ceot lai ding hai fuk zai gwo lai,common_voice_yue_32358696
dim gaai seng jat dou tyun sin,common_voice_yue_32358697
ngo teng co aa maa,common_voice_yue_33170307
ji ngo nei go lin zip zung daai jau kwan hou,common_voice_yue_33170383
ji hau hok sik dou jat joeng ho ji wan jung zi jyu,common_voice_yue_33003782
zung gwok bat sing jing jyut jyu hai jyu jin,common_voice_yue_33003837
dou hai do ze sin,common_voice_yue_32269020
zik zip gam zo haa gok ge jing man cit wun gin daa jing man dou hou fong bin,common_voice_yue_32269023
mou je laa dang nei haau jyun si sin,common_voice_yue_32997150
keoi jat haa zi cung zo ceot heoi,common_voice_yue_32997172
zi hau ngo zau gok dak keoi go jan hou jau oi sam,common_voice_yue_31711725
ngo zung ji daa gei daan hai ngo gang gaa zung ji fan gaau so ji ngo m wui ngaai je daa gei,common_voice_yue_31711727
ngo gok dak san wui tung gong mun hai jat gaa jan seoi ge hai nei go zing fu mou me bit jiu zang me gou dai coeng dyun,common_voice_yue_32302812
bei go ming ci ngo,common_voice_yue_32302815
seoi jiu caak waak gaai kyut tai haa,common_voice_yue_32255258
mou wu mou sik sing mou dou mou wu sau saak,common_voice_yue_32255259
ngo haam zo gei go zung,common_voice_yue_31658697
ngo mou nam gwo keoi wui gam daai faan jing,common_voice_yue_31658699
ngo wan m dou gaau m sik gu jam,common_voice_yue_32256921
dou m zi gei si hoi ci zau lai zo nei dou,common_voice_yue_32256928
gong lei waa coeng laa,common_voice_yue_32269988
jau jat go zi zi jau gwai gong jam biu jam keoi dei man nei dim duk,common_voice_yue_32269992
mong soeng gong mat je ge jan dou jau,common_voice_yue_31366863
bat gwo jau man tai ngo gin dou ngo wui wui daap,common_voice_yue_31366864
faa leng ging zau hai zi go di sap ling seoi m duk syu ge se wui siu nin,common_voice_yue_31373367
jing goi hou do dei fong dou gong,common_voice_yue_31373368
do ze saai daan hai m sai zoi gam zou,common_voice_yue_31730175
jyun bun tung gaa jing man hau ge deoi bei,common_voice_yue_31730177
nei ngaak jan m hou gong daai waa,common_voice_yue_31727199
jau ng go jan,common_voice_yue_31727201
go ceng man gaa cin fong min hai dim joeng ne,common_voice_yue_31732312
syun laa saai sam gei,common_voice_yue_31732314
siu hok gai zau syun laa,common_voice_yue_31427354
caam jyu wut dung zau ho ji wok dak,common_voice_yue_31427358
sik hou siu je,common_voice_yue_32269132
so ji ngo zau gam joeng co zeon loeng m juk,common_voice_yue_32269133
nei zung teoi gwong sau faat hou m seoi jiu bin dai jan dei zi seoi jiu tyun git zi gei,common_voice_yue_32267766
ngo m hai hou ming nei soeng biu daat me tim,common_voice_yue_32267770
ci fu m ho ji zik zip on zong,common_voice_yue_32270029
nei hai ni gaan hok fu hok zaap gung soeng gun lei aa,common_voice_yue_32270032
nei zi m zi me hai taai gwok coeng dek,common_voice_yue_32201295
ngo ngaam ngaam hei san ge,common_voice_yue_32201302
ngo hei mong jyu jin waan jyu jin man zi waan man zi,common_voice_yue_31366777
ji gaa naan zo hou do la,common_voice_yue_31366781
ngo dei zi cin zou gwo jyut jyu jyu jam biu zyu,common_voice_yue_32270035
zou me dat jin gam gong hai dou hoi dei tou paau,common_voice_yue_32270036
cyun ceoi kyun haan mou hoi,common_voice_yue_32992880
daai bou fan ge jan dou faan faan heoi laa,common_voice_yue_32992881
faan deoi cing sai zi tai,common_voice_yue_31366838
ngo zan gaan ceot gaai,common_voice_yue_31366841
daan ngo wui wai zo keoi heoi ting san ji ceot dai kong jam ho jan sam zi hai nei,common_voice_yue_31770422
soeng wan nei jap faan tou leon zou ze,common_voice_yue_31770424
mei gwok jan syun ge m hai baai dang ji hai baai gam,common_voice_yue_31226564
me loi ga,common_voice_yue_31226565
ngo m zung ji zi paak waak ze leoi ci ge je,common_voice_yue_32270841
dou syun hai gam laa,common_voice_yue_32270856
bin zung waa zeoi zip gan gwok jyu,common_voice_yue_33021397
cam maan hoi wui ge noi jung keoi zi dou mei,common_voice_yue_33021398
daai maa zau hai jan wai gam joeng je long zi daai,common_voice_yue_35195418
jau si hau ngo wui gang gaa gin ji jau faa jat haa bat waak syu jap faat,common_voice_yue_35195439
jyun loi nei hai geoi haai zo,common_voice_yue_32269961
ni go hai ngo zi gei gaan ge,common_voice_yue_32269962
ji gaa zung jiu tai faat jyun dim joeng pun dyun nei ci syun geoi,common_voice_yue_35294403
ci siu siu gaai siu di jan bei nei sik,common_voice_yue_35349058
dim gaai nei zi gei jat go jan hai dou zou gung fo ge,common_voice_yue_31977644
zung git haa kwai leot,common_voice_yue_31977645
ho nang hai nei gong m ceot go zung dim,common_voice_yue_32969544
diu zik diu leoi bin jau jat hei syun ge,common_voice_yue_32969628
sam taai kyut ding zo nei jiu dim joeng zou,common_voice_yue_32267786
nei hai go go gou saan gim si,common_voice_yue_32267790
do ze sau tai,common_voice_yue_31761401
tung maai jau di zi ci ci zung hai man jin fan lei,common_voice_yue_31761402
mat je si hau faat bou ne,common_voice_yue_31250622
git me fan aa jau jung me,common_voice_yue_31250626
keoi dei jiu gaau dou ngo gam jat zau teoi hok,common_voice_yue_32259704
bat gwo nei di hai ngo caai caak ze zan soeng hai dim zau dong jin zi jau keoi dei zi gei sin zi laa,common_voice_yue_32259708
ho ji hai mong soeng sau cam nei go ming zau wan dou keoi,common_voice_yue_31963001
zek dip di caa zung jau ceoi fong ge so jau je,common_voice_yue_31963003
nei go go dou hou ci gei hou sik,common_voice_yue_31963005
ngo syun jung ngau hung naam loi zing nei dou sung,common_voice_yue_32256147
ngo daai faan ji gei sin,common_voice_yue_32256148
nei go zau hai keoi ge gung nang,common_voice_yue_32256149
jyu gu nei soeng seon zi gei jau heoi zeoi zuk mung soeng,common_voice_yue_31896242
keoi mat je dou mou se,common_voice_yue_31896243
fat jin nam faan hei ngo lou si ge cing fong,common_voice_yue_31896244
caau jau jyu gau di ge gong faat giu sik mou cing gai,common_voice_yue_31354761
wu wai ji tai zi,common_voice_yue_31354762
gok haa jyu gu gok dak daa zi maan ge waa bat fong jyu jam,common_voice_yue_31354764
ngo soeng hou do je teoi jyut jyu man zi,common_voice_yue_32975913
ting jam hou ci maa tau gu,common_voice_yue_32975962
daan hai keoi dei dou m gwo sam,common_voice_yue_32976010
ceng man hai bin go ci dip,common_voice_yue_32269654
mei gin gwo go zi bo,common_voice_yue_32269656
m hai jyut jyu,common_voice_yue_32269660
gan bun zau m hai sing jan zi gaan ge zaang leon ji hai joek zi zaang leon,common_voice_yue_37112963
mou mat jan jung m zung jiu zeoi gan jiu hai tung nei keng gai ge jan gou zat,common_voice_yue_37120546
nei joeng dou hai ge daan zung mei ngaam saai,common_voice_yue_37120833
haa min go go hai hung coi tau,common_voice_yue_32272711
gam ngo zung caa go mei haa zoi,common_voice_yue_32272712
ne daan san man jau zo gei jat laa,common_voice_yue_32272713
jiu zou hoi lou je keoi,common_voice_yue_32997615
hai mei gwok dang gei zo,common_voice_yue_32997630
daai san soeng m taai fong bin,common_voice_yue_32997638
hang dung zing ming jat cai,common_voice_yue_32333232
nei dou dou mou beng jan dak go hau cau ge seoi jan hai dou,common_voice_yue_32352298
mong soeng gong mat je ge jan dou jau,common_voice_yue_32352300
seoi jiu caak waak gaai kyut tai haa,common_voice_yue_32796519
ngo ho ji se je soeng heoi ga laa,common_voice_yue_32796521
ho m ho ji bong ngo dei so lei jat haa man tai dim,common_voice_yue_32796522
ci zou sing go dou jiu laai heoi gwai bo lei,common_voice_yue_31219840
zau hai gam la,common_voice_yue_31219841
dim gaai zi cin di je gaau dou gam peng mai zau hai loi jyun jyu aat zaa lo,common_voice_yue_31219842
keoi ngaam ngaam gong zo mat,common_voice_yue_32266895
daa bei nei waak ze lai ni dou wan nei,common_voice_yue_32266896
ngo jiu jat joeng dak daai jan wui jung ge je,common_voice_yue_32266897
zou ping man bik baa si jau bik baa si ge tung fu,common_voice_yue_32308433
goek bai ge waa haang lou zau wui gat haa gat haa,common_voice_yue_32308437
jau mou bat waa go di,common_voice_yue_32308448
go tin maang ge m hou tung ngo gong tin lei,common_voice_yue_31354772
sau gei min fai si jung,common_voice_yue_31354774
jyun loi nei hai aa tin ge pang jau,common_voice_yue_31354775
mou teoi gwong zi haau,common_voice_yue_32968838
faan zing ngo jau haa zoi bou cyun,common_voice_yue_32968910
ji gaa dou teng m dou laa mou leon hai mai go go nin doi ge jan dou mou zo nei di hau jam,common_voice_yue_32969098
ngo hoi zo din nou laa,common_voice_yue_32302956
ngo m cing co,common_voice_yue_32302957
ngo tung ngo cin jam zung faai aa gin min dai jat jat zau sek zeoi dai ji jat zau tung cong gung zam,common_voice_yue_32302958
ngo dou hai gam waa min tiu hou ci bak fong waa,common_voice_yue_33009745
jing goi giu ping se cyun lin,common_voice_yue_33009855
nei di haak baan soeng ge m hai zing kok ping jam me,common_voice_yue_33010107
lek ge jau liu ge san zou zau saai,common_voice_yue_32249954
jyu gu gok dak di pin ho ji ge waa,common_voice_yue_32257387
dak laa ngo gin dou,common_voice_yue_32257388
loeng go hou ci dou caa m do zik hai gaan bin go,common_voice_yue_32333995
ni zek hou laap saap,common_voice_yue_32334010
gaai sik hai deoi waa jap min jung dou ge ci wui,common_voice_yue_32334013
mai zi sin nei hai waa ngo faai ding waa ngo puk gaai,common_voice_yue_31696352
nei gong gin ga,common_voice_yue_31696354
hing dai fong sung di ngo mou ok ji,common_voice_yue_31696359
teoi kwan laa jan dei,common_voice_yue_32654967
zung jau m goi daai gaa gei zyu,common_voice_yue_32655033
jyun loi zeoi hau go go sin hai zung dim,common_voice_yue_32655037
nei lai zou hau kei lo,common_voice_yue_32534633
se dou lung fei fung mou,common_voice_yue_32592641
gam ci go wut dung hou jau ho nang hai hai gam go syu gaa,common_voice_yue_32592644
zong jyun zi hau zik haak ho ji jung,common_voice_yue_32263146
haang gaai si gwo jan zyu gaai si hou nan mou jan,common_voice_yue_32263147
nei ji gaa hai jiu gaai kyut man tai,common_voice_yue_32263148
keoi mou gung hoi bo,common_voice_yue_32075946
ziu mou jau hei tai jim gun,common_voice_yue_32075948
cang ging hou miu siu ge sai gaai bin dak gang gwong fut,common_voice_yue_32075950
gu sai waan jat paai zau mou jan,common_voice_yue_32268486
ngo daai lou gaau gam noi nei hai mei m hai bei min aa,common_voice_yue_32268487
heoi ou zau hou ding hai heoi mei gwok hou aa,common_voice_yue_32268489
zung gwok di fong jik cou si ge ngai hoi daai gwo beng duk sap pui m zi,common_voice_yue_32170830
nei wan bin go,common_voice_yue_32170831
hou ci saang sat naa gam han,common_voice_yue_32170875
m hai m hou wui co ji,common_voice_yue_31696952
gang hai soeng laa bin go soeng hai gam lok lok lok,common_voice_yue_31697052
waak ze kei taa ngo soeng sam ge ging lik zau hai wai zo nei,common_voice_yue_31697056
bat ging sam zan ji ging leon haam bei di laau jan zim geoi saai,common_voice_yue_31199284
jik dou ho ji haa zoi syu jap faat,common_voice_yue_31199285
hai m hai nei heoi zo mong lok m hou ge dei fong,common_voice_yue_31199287
zik hing siu wui jin ji git cuk do ze daai gaa caam jyu,common_voice_yue_32994842
m hai hou ci ham paang laang kam pei,common_voice_yue_32994844
mong soeng caa hon din nou baan ho ji gwo leoi sang pik zi,common_voice_yue_32994845
nei faai min gaau me aa,common_voice_yue_31721200
jat di di hung zau bat gwo ji ging fai faat saai la,common_voice_yue_31721217
keoi mat je si aa,common_voice_yue_31721221
dim gaai nei zi gei jat go jan hai dou zou gung fo ge,common_voice_yue_31666132
jau gei do go ling jat baak maan,common_voice_yue_31666134
bat leon nei ge se wui dei wai waak ze gaa ging,common_voice_yue_31666138
ho ji hai jat zung paai bei jung wu ge ding sam jyun,common_voice_yue_32269223
daan hai jiu dim gaau hai mai jiu sin juk go cit zi,common_voice_yue_32269224
jau go dak dim zau hai keoi zan hai hou jau mei lik,common_voice_yue_32269225
gaak zyu go mong m sai gaau jin gei noi sing wui hou di,common_voice_yue_31205881
ho bit paa jan zi dou,common_voice_yue_31205882
fo jing jau cat baak ji sap zaap hoi coeng go jing goi jau sing saam sap zi,common_voice_yue_31205883
gwong sai ge jyun hoi saam si zau hai jung waai zaap tung gwong dung wun ge,common_voice_yue_31722864
hei mong nei hoi hoi sam sam,common_voice_yue_31722867
ngo dei nei baan m tung sing gaak ge jan dim zyu hai tung jat uk jim haa,common_voice_yue_31722868
gan geoi go go ji sap jat jat ge lei leon,common_voice_yue_31730956
cit dai se zoi zi hau zoi si gwo,common_voice_yue_31730957
jung ng jan zi dai ge sau faat ling hok saang gok dak mou gam naan,common_voice_yue_31730959
ci sin nei jing zan ga,common_voice_yue_31643303
nei go meng dou gei dak ji dim gaai wui gam giu ge,common_voice_yue_31643305
gaa do jat joeng je,common_voice_yue_31643307
mei jau gang hou syun zaak zi cin ni go hai muk cin ho jung ge ze zi,common_voice_yue_33120759
m hai keoi dei jau caak si zi leoi ge seoi kau,common_voice_yue_33120795
jat zan gaan zi dung cit wun faan tai,common_voice_yue_33120797
go go hai gou zung hou,common_voice_yue_32349477
ngo nei bin ho ji zap tau zap mei,common_voice_yue_32349529
dong jin gam nin gwo nin ziu joeng wui jau sei jan tung lam lau,common_voice_yue_32349545
ci gaau faa sin ging ci dou faat daai daat zou maai ciu jan,common_voice_yue_31197295
hai bin dou wan dou,common_voice_yue_31197298
ji hau ngo dei zung ho ji heoi bin dok tai kaa tung pin aa,common_voice_yue_31197303
maai go di m hai mau gwok gwok noi ge jyu gaau ci ban zau hai jung bo lei seoi zing ge zyu lin,common_voice_yue_32270387
ngo hou faai zau wui faan loi,common_voice_yue_32270390
zeoi naan sing jing ge je hai me,common_voice_yue_32270391
ngo dou jau teng dou,common_voice_yue_33000072
pang jau hyun faat ge m zi dou hai m hai keoi zi gei luk ge,common_voice_yue_33010091
bat gwo ho ji m lei,common_voice_yue_33010137
ji gaa naan zo hou do la,common_voice_yue_32640600
daan ngo dei dou mou gam jing zan,common_voice_yue_32706001
ji gaa teoi pou gwo dou,common_voice_yue_32706004
daan go sing zo dou hou pin min ze,common_voice_yue_32268615
gam ge lei jau wui m wui ngong gau zo di,common_voice_yue_32268617
fuk duk mai zau hai cung faan hok haau,common_voice_yue_32268619
saam zoeng zau m ho ji gai zuk zeoi dung waa ge me,common_voice_yue_33019735
gou cing gam teng dou di kat sing,common_voice_yue_33019760
sam zi wai zo haan cin jiu sik fong bin sik ban,common_voice_yue_33019763
cyun tung man faa hai sik maau sik gau,common_voice_yue_31938810
daai keoi heoi zeoi zung muk dik dei,common_voice_yue_31938811
ho nang m dak,common_voice_yue_31938812
hei mong tin jau ngaan zau zan,common_voice_yue_31277990
zan hai jyut naam pang jau,common_voice_yue_31277993
doi ngo zoi ci sam jyut hau soeng cyun,common_voice_yue_31277995
oi jyu wo ping bing bat jim zaa waa m ding nei dou zung ji ngo ne,common_voice_yue_32270101
sik dak wo mai do,common_voice_yue_32270103
jat soeng zau hai zou zim zou zim tung maai zou zim,common_voice_yue_32270104
m hou zing sei keoi,common_voice_yue_32346589
hou gou hing jing sik nei,common_voice_yue_32346591
nei ho ji zik zip bou soeng,common_voice_yue_32346593
ngo dei dou soeng zeon loeng jyun sin,common_voice_yue_32410942
gan bun m gau keoi bou zyu gaan uk,common_voice_yue_32410943
hou laa gok jan zi gei nam gong jyun,common_voice_yue_32410944
nei hai zong zuk jan,common_voice_yue_32299943
ji gaa ho ji laa,common_voice_yue_32299944
ngo di jyut ping dou m hai fu mou gaau ge,common_voice_yue_32299945
jau mou jan sing jau mou laa baa sing,common_voice_yue_32308225
nei go zau hai keoi dei ge sai gaai,common_voice_yue_32308226
bei ngo tai haa laa,common_voice_yue_32308227
ngo m ming ni geoi,common_voice_yue_33054270
